Abend,der
Abendessen,das
Alkohol,der
Alter,der
Ansichtskarte,die
Antwort,die
Anzeige,die
Apfel,der
Arbeit,die
Ausflug,der
Ausländer,der
Ausländerin,die
Auto,das
Bank,die
Bar,die
Batterie,die
Benzin,das
Beruf,der
Bett,das
Bibliothek,die
Bier,das
Bild,das
Bohne,die
Brot,das
Brötchen,das
Buch,das
Butter,die
Bäcker,der
Café,das
Deutschland,das
Diskothek,die
Donnerstag,der
Dose,die
Dusche,die
Ei,das
Eintritt,der
Eis,das
Eltern,die
Erdbeere,die
Essen,das
Euro,der
Export,der
Familienname,die
Familienstand,der
Fehler,der
Fernsehapparat,der
Fernsehen,das
Fieber,das
Film,der
Fisch,der
Flasche,die
Fleisch,das
Foto,das
Fotograf,das
Frage,die
Frau,die
Freitag,der
Freizeit,die
Friseur,der
Friseurin,die
Frucht,die
Frühstück,das
Gabel,die
Gast,der
Gasthof,der
Geburtstag,der
Geld,das
Gemüse,das
Gericht,das
Geschäft,das
Gespräch,das
Getränk,das
Gewürz,das
Glas,das
Gramm,das
Gruppe,die
Gruß,der
Handy,das
Haus,das
Hausfrau,die
Haushalt,der
Herd,der
Herr,der
Hobby,das
Hähnchen,das
Idee,die
Jahr,das
Juli,der
Kaffee,der
Kamera,die
Karte,die
Kartoffel,die
Kassette,die
Kauffrau,die
Kaufmann,der
Kellner,der
Kellnerin,die
Kilo,das
Kind,das
Kino,das
Kiste,die
Kleid,das
Konzert,das
Kotelett,das
Krankenhaus,das
Krankenschwester,die
Kuchen,der
Kugelschreiber,der
Kurs,der
Käse,der
Küche,die
Kühlschrank,der
Lampe,die
Land,das
Lehrer,der
Lehrerin,die
Leute,die
Limonade,die
Liter,der
Löffel,der
Lösung,die
Mannschaft,die
Marmelade,die
Maschine,die
Mechaniker,der
Meer,das
Mehl,das
Mensch,der
Messer,das
Milch,die
Mineralwasser,das
Minute,die
Mittag,der
Mittagessen,das
Mittwoch,der
Monat,der
Montag,der
Musik,die
Nachtisch,der
Name,die
Obstkuchen,der
Ort,der
Öl,das
Österreich,das
Passsagier,der
Pause,die
Person,die
Pfeffer,der
Pfund,das
Postkarte,die
Postleitzahl,die
Preis,der
Problem,das
Programm,das
Radio,das
Regal,das
Reis,der
Reiseleiter,der
Reiseleiterin,die
Restaurant,das
Rotwein,der
Saft,der
Sahne,die
Salat,der
Samstag,der
Satz,der
Schild,das
Schinken,der
Schokolade,die
Schrank,der
Schweiz,der
Schwimmbad,das
Schüler,der
Schülerin,die
Seite,die
Sekretärin,die
Situation,die
Sonnabend,der
Sonnenbad,das
Sonntag,er
Soße,die
Spaziergang,der
Speisekarte,die
Spülmittel,das
Steak,das
Steckdose,die
Stecker,der
Straße,die
Student,der
Studentin,die
Stuhl,der
Suppe,die
Tag,der
Tanz,der
Tasse,die
Tee,der
Telefon,das
Telefonnummer,die
Teller,der
Tisch,der
Tomate,die
Topf,der
Torte,die
Uhr,die
Uhrzeit,die
Verband,der
Viertel,das
Vorname,die
Vorspeise,die
Vortrag,der
Waschbecken,das
Waschmaschine,die
Wasserhahn,der
Wert,der
Wohnort,der
Wohnung,die
Wort,das
Wurst,die
Wäsche,die
Zahl,die
Zeit,die
Zeitung,die
Zettel,der
Zigarette,die
Zucker,der
Zwiebel,die
